technique_id,tactic,technique,x_mitre_is_subtechnique,log_provider
T1564.009,defense-evasion,Resource Forking,True,Linux-Sysmon
T1564.009,defense-evasion,Resource Forking,True,Windows Defender Advanced Threat Protection
T1564.009,defense-evasion,Resource Forking,True,Microsoft-Windows-Sysmon
T1564.009,defense-evasion,Resource Forking,True,Linux-Sysmon
T1564.009,defense-evasion,Resource Forking,True,Microsoft Defender for Endpoint
T1564.009,defense-evasion,Resource Forking,True,Microsoft-Windows-Security-Auditing
T1564.009,defense-evasion,Resource Forking,True,Microsoft-Windows-Sysmon
T1564.009,defense-evasion,Resource Forking,True,Linux-Sysmon
T1564.009,defense-evasion,Resource Forking,True,Microsoft Defender for Endpoint
T1564.009,defense-evasion,Resource Forking,True,Microsoft-Windows-Sysmon
T1564.009,defense-evasion,Resource Forking,True,Microsoft Defender for Endpoint
T1564.009,defense-evasion,Resource Forking,True,Microsoft-Windows-Security-Auditing
T1564.009,defense-evasion,Resource Forking,True,Microsoft-Windows-Sysmon
T1564.009,defense-evasion,Resource Forking,True,Linux-Sysmon
T1564.009,defense-evasion,Resource Forking,True,Microsoft Defender for Endpoint
T1564.009,defense-evasion,Resource Forking,True,nan
T1564.009,defense-evasion,Resource Forking,True,Microsoft-Windows-Security-Auditing
T1564.009,defense-evasion,Resource Forking,True,Microsoft-Windows-Sysmon
T1564.009,defense-evasion,Resource Forking,True,Microsoft-Windows-PowerShell
T1564.009,defense-evasion,Resource Forking,True,Microsoft Defender for Endpoint
T1564.009,defense-evasion,Resource Forking,True,Microsoft-Windows-Security-Auditing
T1564.009,defense-evasion,Resource Forking,True,Microsoft-Windows-Sysmon
T1564.009,defense-evasion,Resource Forking,True,Linux-Sysmon
T1564.009,defense-evasion,Resource Forking,True,Microsoft-Windows-PowerShell
T1564.009,defense-evasion,Resource Forking,True,Microsoft Defender for Endpoint
T1562.010,defense-evasion,Downgrade Attack,True,Microsoft-Windows-Security-Auditing
T1562.010,defense-evasion,Downgrade Attack,True,Microsoft-Windows-Sysmon
