technique_id,x_mitre_is_subtechnique,technique,tactic,platform,data_source,data_component,name,source,relationship,target,event_id,event_name,event_platform,audit_category,audit_sub_category,log_channel,log_provider,filter_in
T1564.009,True,Resource Forking,['defense-evasion'],['macOS'],file,file creation,User created File,user,created,file,11,FileCreate.,Linux,FileCreate,nan,Linux-Sysmon/Operational,Linux-Sysmon,nan
T1564.009,True,Resource Forking,['defense-evasion'],['macOS'],file,file creation,User created File,user,created,file,DeviceFileEvents,DeviceFileEvents,Windows,,nan,,Windows Defender Advanced Threat Protection,nan
T1564.009,True,Resource Forking,['defense-evasion'],['macOS'],file,file creation,Process created File,process,created,file,11,FileCreate.,Windows,FileCreate,nan,Microsoft-Windows-Sysmon/Operational,Microsoft-Windows-Sysmon,nan
T1564.009,True,Resource Forking,['defense-evasion'],['macOS'],file,file creation,Process created File,process,created,file,11,FileCreate.,Linux,FileCreate,nan,Linux-Sysmon/Operational,Linux-Sysmon,nan
T1564.009,True,Resource Forking,['defense-evasion'],['macOS'],file,file creation,Process created File,process,created,file,FileCreated,FileCreated,Windows,,nan,DeviceFileEvents,Microsoft Defender for Endpoint,nan
T1564.009,True,Resource Forking,['defense-evasion'],['macOS'],process,process creation,User created Process,user,created,process,4688,A new process has been created.,Windows,Detailed Tracking,Process Creation,Security,Microsoft-Windows-Security-Auditing,nan
T1564.009,True,Resource Forking,['defense-evasion'],['macOS'],process,process creation,User created Process,user,created,process,1,Process Creation.,Windows,ProcessCreate,nan,Microsoft-Windows-Sysmon/Operational,Microsoft-Windows-Sysmon,nan
T1564.009,True,Resource Forking,['defense-evasion'],['macOS'],process,process creation,User created Process,user,created,process,1,Process Creation.,Windows,ProcessCreate,nan,Linux-Sysmon/Operational,Linux-Sysmon,nan
T1564.009,True,Resource Forking,['defense-evasion'],['macOS'],process,process creation,User created Process,user,created,process,ProcessCreated,ProcessCreated,Windows,,nan,DeviceProcessEvents,Microsoft Defender for Endpoint,nan
T1564.009,True,Resource Forking,['defense-evasion'],['macOS'],process,process creation,Process created Thread,process,created,thread,8,CreateRemoteThread.,Windows,CreateRemoteThread,nan,Microsoft-Windows-Sysmon/Operational,Microsoft-Windows-Sysmon,nan
T1564.009,True,Resource Forking,['defense-evasion'],['macOS'],process,process creation,Process created Thread,process,created,thread,CreateRemoteThreadApiCall,CreateRemoteThreadApiCall,Windows,,nan,DeviceEvents,Microsoft Defender for Endpoint,nan
T1564.009,True,Resource Forking,['defense-evasion'],['macOS'],process,process creation,Process created Process,process,created,process,4688,A new process has been created.,Windows,Detailed Tracking,Process Creation,Security,Microsoft-Windows-Security-Auditing,nan
T1564.009,True,Resource Forking,['defense-evasion'],['macOS'],process,process creation,Process created Process,process,created,process,1,Process Creation.,Windows,ProcessCreate,nan,Microsoft-Windows-Sysmon/Operational,Microsoft-Windows-Sysmon,nan
T1564.009,True,Resource Forking,['defense-evasion'],['macOS'],process,process creation,Process created Process,process,created,process,1,Process Creation.,Linux,ProcessCreate,nan,Linux-Sysmon/Operational,Linux-Sysmon,nan
T1564.009,True,Resource Forking,['defense-evasion'],['macOS'],process,process creation,Process created Process,process,created,process,ProcessCreated,ProcessCreated,Windows,,nan,DeviceProcessEvents,Microsoft Defender for Endpoint,nan
T1564.009,True,Resource Forking,['defense-evasion'],['macOS'],file,file metadata,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
T1564.009,True,Resource Forking,['defense-evasion'],['macOS'],command,command execution,User executed Command,user,executed,command,4688,A new process has been created.,Windows,Detailed Tracking,Process Creation,Security,Microsoft-Windows-Security-Auditing,nan
T1564.009,True,Resource Forking,['defense-evasion'],['macOS'],command,command execution,User executed Command,user,executed,command,1,Process Creation.,Windows,ProcessCreate,nan,Microsoft-Windows-Sysmon/Operational,Microsoft-Windows-Sysmon,nan
T1564.009,True,Resource Forking,['defense-evasion'],['macOS'],command,command execution,User executed Command,user,executed,command,4103,Module logging.,Windows,Executing Pipeline,nan,Microsoft-Windows-PowerShell/Operational,Microsoft-Windows-PowerShell,nan
T1564.009,True,Resource Forking,['defense-evasion'],['macOS'],command,command execution,User executed Command,user,executed,command,ProcessCreated,ProcessCreated,Windows,,nan,DeviceProcessEvents,Microsoft Defender for Endpoint,nan
T1564.009,True,Resource Forking,['defense-evasion'],['macOS'],command,command execution,Process executed Command,process,executed,command,4688,A new process has been created.,Windows,Detailed Tracking,Process Creation,Security,Microsoft-Windows-Security-Auditing,nan
T1564.009,True,Resource Forking,['defense-evasion'],['macOS'],command,command execution,Process executed Command,process,executed,command,1,Process Creation.,Windows,ProcessCreate,nan,Microsoft-Windows-Sysmon/Operational,Microsoft-Windows-Sysmon,nan
T1564.009,True,Resource Forking,['defense-evasion'],['macOS'],command,command execution,Process executed Command,process,executed,command,1,Process Creation.,Linux,ProcessCreate,nan,Linux-Sysmon/Operational,Linux-Sysmon,nan
T1564.009,True,Resource Forking,['defense-evasion'],['macOS'],command,command execution,Process executed Command,process,executed,command,4103,Module logging.,Windows,Executing Pipeline,nan,Microsoft-Windows-PowerShell/Operational,Microsoft-Windows-PowerShell,nan
T1564.009,True,Resource Forking,['defense-evasion'],['macOS'],command,command execution,Process executed Command,process,executed,command,ProcessCreated,ProcessCreated,Windows,,nan,DeviceProcessEvents,Microsoft Defender for Endpoint,nan
T1562.010,True,Downgrade Attack,['defense-evasion'],"['Windows', 'Linux', 'macOS']",command,command execution,User executed Command,user,executed,command,4688,A new process has been created.,Windows,Detailed Tracking,Process Creation,Security,Microsoft-Windows-Security-Auditing,nan
T1562.010,True,Downgrade Attack,['defense-evasion'],"['Windows', 'Linux', 'macOS']",command,command execution,User executed Command,user,executed,command,1,Process Creation.,Windows,ProcessCreate,nan,Microsoft-Windows-Sysmon/Operational,Microsoft-Windows-Sysmon,nan
T1562.010,True,Downgrade Attack,['defense-evasion'],"['Windows', 'Linux', 'macOS']",command,command execution,User executed Command,user,executed,command,4103,Module logging.,Windows,Executing Pipeline,nan,Microsoft-Windows-PowerShell/Operational,Microsoft-Windows-PowerShell,nan
T1562.010,True,Downgrade Attack,['defense-evasion'],"['Windows', 'Linux', 'macOS']",command,command execution,User executed Command,user,executed,command,ProcessCreated,ProcessCreated,Windows,,nan,DeviceProcessEvents,Microsoft Defender for Endpoint,nan
T1562.010,True,Downgrade Attack,['defense-evasion'],"['Windows', 'Linux', 'macOS']",command,command execution,Process executed Command,process,executed,command,4688,A new process has been created.,Windows,Detailed Tracking,Process Creation,Security,Microsoft-Windows-Security-Auditing,nan
T1562.010,True,Downgrade Attack,['defense-evasion'],"['Windows', 'Linux', 'macOS']",command,command execution,Process executed Command,process,executed,command,1,Process Creation.,Windows,ProcessCreate,nan,Microsoft-Windows-Sysmon/Operational,Microsoft-Windows-Sysmon,nan
T1562.010,True,Downgrade Attack,['defense-evasion'],"['Windows', 'Linux', 'macOS']",command,command execution,Process executed Command,process,executed,command,1,Process Creation.,Linux,ProcessCreate,nan,Linux-Sysmon/Operational,Linux-Sysmon,nan
T1562.010,True,Downgrade Attack,['defense-evasion'],"['Windows', 'Linux', 'macOS']",command,command execution,Process executed Command,process,executed,command,4103,Module logging.,Windows,Executing Pipeline,nan,Microsoft-Windows-PowerShell/Operational,Microsoft-Windows-PowerShell,nan
T1562.010,True,Downgrade Attack,['defense-evasion'],"['Windows', 'Linux', 'macOS']",command,command execution,Process executed Command,process,executed,command,ProcessCreated,ProcessCreated,Windows,,nan,DeviceProcessEvents,Microsoft Defender for Endpoint,nan
T1562.010,True,Downgrade Attack,['defense-evasion'],"['Windows', 'Linux', 'macOS']",process,process metadata,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
T1562.010,True,Downgrade Attack,['defense-evasion'],"['Windows', 'Linux', 'macOS']",process,process creation,User created Process,user,created,process,4688,A new process has been created.,Windows,Detailed Tracking,Process Creation,Security,Microsoft-Windows-Security-Auditing,nan
T1562.010,True,Downgrade Attack,['defense-evasion'],"['Windows', 'Linux', 'macOS']",process,process creation,User created Process,user,created,process,1,Process Creation.,Windows,ProcessCreate,nan,Microsoft-Windows-Sysmon/Operational,Microsoft-Windows-Sysmon,nan
